Id,Title,Year,Rating,Runtime,Critic.Score,Box.Office
1111,Peaceful Warrior,2006,PG-13,120,25,1.0
1112,Romeo & Juliet: Sealed with a Kiss,2006,G,76,20,0.0809
1113,Waist Deep,2006,R,97,27,21.3
1114,Superman Returns,2006,PG-13,154,76,200.0
1115,The Devil Wears Prada,2006,PG-13,109,75,124.7
1116,An Inconvenient Truth,2006,PG,100,93,23.7
1117,Quinceañera,2006,R,90,86,1.5
1118,Pirates of the Caribbean: Dead Man's Chest,2006,PG-13,151,54,423.0
1119,"You, Me and Dupree",2006,PG-13,108,21,75.6
1120,Littleman,2006,PG-13,98,12,58.3
1121,The Celestine Prophecy,2006,PG,99,4,1.0
1122,Monster House,2006,PG,91,74,73.7
1123,Lady in the Water,2006,PG-13,110,24,42.2
1124,Wordplay,2006,PG,94,95,2.9
1125,Clerks II,2006,R,97,63,24.0
1126,My Super Ex-Girlfriend,2006,PG-13,95,40,22.4
1127,Miami Vice,2006,R,134,47,63.4
1128,John Tucker Must Die,2006,PG-13,89,26,40.9
1129,Scoop,2006,PG-13,96,39,10.5
1130,The Ant Bully,2006,PG,88,63,28.1
1131,A Scanner Darkly,2006,R,100,69,5.3
1132,Barnyard,2006,PG,90,22,72.6
1133,Talladega Nights: The Ballad of Ricky Bobby,2006,PG-13,108,72,148.2
1134,Who Killed the Electric Car?,2006,PG,92,88,1.3
1135,The Night Listener,2006,R,91,40,7.8
1136,World Trade Center,2006,PG-13,129,68,70.2
1137,The Butterfly Effect 2,2006,R,92,0,57.0
1138,Pulse,2006,PG-13,90,10,20.2
1139,Step Up,2006,PG-13,104,19,65.3
1140,Zoom,2006,PG,83,3,11.6
1141,Snakes on a Plane,2006,R,105,68,33.9
1142,Accepted,2006,PG-13,93,36,36.3
1143,Little Miss Sunshine,2006,R,101,91,59.8
1144,Material Girls,2006,PG,97,4,11.3
1145,Invincible,2006,PG,105,71,57.8
1146,How to Eat Fried Worms,2006,PG,98,59,13.0
1147,Idlewild,2006,R,121,48,12.5
1148,Beerfest,2006,R,110,41,19.0
1149,Crank,2006,R,88,61,27.8
1150,Crossover,2006,PG-13,95,2,7.0
1151,The Illusionist,2006,PG-13,110,74,39.7
1152,The Covenant,2006,PG-13,97,3,23.3
1153,Hollywoodland,2006,R,126,69,14.3
1154,Broken Bridges,2006,PG-13,105,5,0.2
1155,Everyone's Hero,2006,G,88,41,14.5
1156,The Last Kiss,2006,R,104,46,11.5
1157,Beer League,2006,R,86,27,0.5
1158,Gridiron Gang,2006,PG-13,125,42,38.4
1159,The Black Dahlia,2006,R,121,32,22.5
1160,Flyboys,2006,PG-13,140,33,13.0
1161,Jackass Number Two,2006,R,92,63,72.8
1162,Half Nelson,2006,R,106,90,2.6
1163,Open Season,2006,PG,83,48,84.3
1164,School for Scoundrels,2006,PG-13,100,25,17.8
1165,Facing the Giants,2006,PG,111,13,10.1
1166,The Guardian,2006,PG-13,139,37,55.0
1167,The Texas Chainsaw Massacre: The Beginning,2006,R,91,12,39.4
1168,The Departed,2006,R,151,91,132.3
1169,Employee of the Month,2006,PG-13,103,20,28.4
1170,Infamous,2006,R,110,73,1.1
1171,The Grudge 2,2006,PG-13,102,10,39.1
1172,One Night with the King,2006,PG,123,19,13.4
1173,A Guide to Recognizing Your Saints,2006,R,100,76,0.4
1174,Alex Rider: Operation Stormbreaker,2006,PG,93,34,0.6
1175,Man of the Year,2006,PG-13,115,21,37.4
1176,The Marine,2006,PG-13,92,20,18.7
1177,O Jerusalem,2006,R,100,35,0.2
1178,Fur: An Imaginary Portrait of Diane Arbus,2006,R,122,32,0.1
1179,Flags of Our Fathers,2006,R,135,73,33.6
1180,Marie Antoinette,2006,PG-13,123,55,16.0
1181,The Prestige,2006,PG-13,130,76,53.0
1182,Flicka,2006,PG,95,54,20.9
1183,Lonely Hearts,2006,R,108,48,0.1
1184,Running with Scissors,2006,R,116,31,6.8
1185,Saw III,2006,R,108,28,80.2
1186,Conversations with God,2006,PG,109,7,0.3
1187,Catch a Fire,2006,PG-13,101,76,4.3
1188,Little Children,2006,R,136,80,5.3
1189,The Santa Clause 3: The Escape Clause,2006,G,97,15,84.4
1190,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,R,84,91,128.4
1191,Flushed Away,2006,PG,85,72,64.5
1192,Babel,2006,R,143,69,34.2
1193,Breaking and Entering,2006,R,120,34,0.9
1194,The Return,2006,PG-13,85,16,7.7
1195,A Good Year,2006,PG-13,117,25,7.4
1196,Goya's Ghosts,2006,R,113,30,0.7
1197,Stranger Than Fiction,2006,PG-13,113,72,40.1
1198,The Queen,2006,PG-13,103,97,56.2
1199,Happy Feet,2006,PG,108,75,197.9
1200,Fast Food Nation,2006,R,116,50,0.9
1201,Let's Go to Prison,2006,R,84,12,5.5
1202,Casino Royale,2006,PG-13,144,95,167.0
1203,The Fountain,2006,PG-13,96,51,10.0
1204,For Your Consideration,2006,PG-13,86,50,5.5
1205,Deck the Halls,2006,PG,93,6,35.1
1206,Tenacious D in The Pick of Destiny,2006,R,93,54,8.2
1207,Deja Vu,2006,PG-13,126,55,63.9
1208,Bobby,2006,R,120,46,11.1
1209,The Nativity Story,2006,PG,101,38,37.6
1210,Turistas,2006,R,93,16,6.9
1211,Van Wilder 2: The Rise of Taj,2006,R,97,7,3.8
1212,The U.S. vs. John Lennon,2006,PG-13,99,77,1.0
1213,The Holiday,2006,PG-13,138,47,63.2
1214,Apocalypto,2006,R,139,65,50.8
1215,Unaccompanied Minors,2006,PG,90,31,16.6
1216,Blood Diamond,2006,R,143,62,57.3
1217,Charlotte's Web,2006,G,97,78,82.1
1218,The Pursuit of Happyness,2006,PG-13,117,67,162.6
1219,Rocky Balboa,2006,PG,102,76,70.1
1220,We Are Marshall,2006,PG,131,49,43.5
1221,Night at the Museum,2006,PG,108,44,250.8
1222,The Good Shepherd,2006,R,167,54,59.8
1223,Dreamgirls,2006,PG-13,130,78,103.3
1224,Happily N'Ever After,2006,PG,87,4,151.9
1225,Thr3e,2006,PG-13,101,5,1.0
1226,Children of Men,2006,R,109,92,35.3
1227,Alpha Dog,2006,R,122,55,15.1
1228,God Grew Tired of Us,2006,PG,89,91,0.1
1229,Pan's Labyrinth,2006,R,118,95,37.4
1230,The Painted Veil,2006,PG-13,125,74,7.9
1231,The Good German,2006,R,105,33,0.9
1232,Idiocracy,2006,R,84,73,0.3
1233,Smokin' Aces,2006,R,108,29,35.6
1234,Catch and Release,2006,PG-13,124,21,15.3
1235,Letters from Iwo Jima,2006,R,141,91,13.7
1236,10 Items or Less,2006,R,82,63,0.0693
1237,Factory Girl,2006,R,90,19,1.6
1238,The Bridge,2006,R,94,67,0.0493
1239,The Astronaut Farmer,2006,PG,104,57,11.0
1240,Amazing Grace,2006,PG,118,70,21.2
1241,Black Snake Moan,2006,R,116,66,9.3
1242,Copying Beethoven,2006,PG-13,104,28,0.2
1243,300,2006,R,117,60,210.6
1244,Starter for 10,2006,PG-13,92,89,0.2
1245,Miss Potter,2006,PG,92,66,2.9
1246,The Ultimate Gift,2006,PG,114,32,3.2
1247,First Snow,2006,R,101,58,0.1
1248,The Namesake,2006,PG-13,122,87,13.5
1249,Seraphim Falls,2006,R,115,55,0.3
1250,Jesus Camp,2006,PG-13,87,87,0.8
1251,Blind Dating,2006,PG-13,95,25,0.0619
1252,The Ex,2006,PG-13,89,19,3.0
1253,Away from Her,2006,PG-13,110,94,15.8
1254,Bug,2006,R,102,61,7.0
1255,Hollywood Dreams,2006,R,100,36,0.0892
1256,DOA: Dead or Alive,2006,PG-13,87,34,0.3
1257,Rescue Dawn,2006,PG-13,120,91,5.3
1258,El cantante,2006,R,106,25,7.5
1259,Mini's First Time,2006,R,91,54,0.0218
1260,Skinwalkers,2006,R,110,14,1.0
1261,Come Early Morning,2006,R,97,83,0.0502
1262,Fay Grim,2006,R,118,44,0.0618
1263,Bella,2006,PG-13,91,44,7.9
1264,Southland Tales,2006,R,145,36,0.2
1265,Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland,2006,R,100,57,0.5
1266,Penelope,2006,PG,104,53,9.8
1267,Bonneville,2006,PG,93,40,0.3
1268,Little Chenier,2006,R,120,60,0.0444
1269,The Fall,2006,R,117,59,2.1
1270,Civic Duty,2006,R,98,56,0.0549
1271,The Foot Fist Way,2006,R,85,54,0.2
1272,The Heart Specialist,2006,R,99,0,1.1
1273,Starting Out in the Evening,2007,PG-13,111,87,0.6
1274,Music Within,2007,R,94,33,0.1
1275,Code Name: The Cleaner,2007,PG-13,84,4,8.1
1276,Freedom Writers,2007,PG-13,123,69,36.5
1277,Primeval,2007,R,93,19,10.4
1278,Stomp the Yard,2007,PG-13,109,26,61.4
1279,The Hitcher,2007,R,84,21,16.2
1280,Blood and Chocolate,2007,PG-13,98,11,3.4
1281,Epic Movie,2007,PG-13,86,2,39.7
1282,Because I Said So,2007,PG-13,102,5,42.6
1283,The Messengers,2007,PG-13,90,12,35.4
1284,The Last Sin Eater,2007,PG-13,117,19,0.2
1285,Norbit,2007,PG-13,102,9,95.3
1286,Daddy's Little Girls,2007,PG-13,100,26,31.3
1287,Music and Lyrics,2007,PG-13,96,62,50.5
1288,Bridge to Terabithia,2007,PG,96,85,82.2
1289,Breach,2007,PG-13,110,84,33.0
1290,Ghost Rider,2007,PG-13,114,26,115.8
1291,The Number 23,2007,R,101,8,35.1
1292,Reno 911!: Miami,2007,R,84,35,20.3
1293,Wild Hogs,2007,PG-13,100,14,168.2
1294,Zodiac,2007,R,157,89,33.0
1295,Shoot Down,2007,PG-13,85,80,0.0514
1296,Dead Silence,2007,R,89,21,16.5
1297,Premonition,2007,PG-13,96,8,47.9
1298,Reign Over Me,2007,R,124,64,19.7
1299,Shooter,2007,R,124,48,47.0
1300,The Hills Have Eyes II,2007,R,89,11,20.8
1301,TMNT,2007,PG,87,34,54.1
1302,Pride,2007,PG,104,45,7.0
1303,The Last Mimzy,2007,PG,90,53,21.4
1304,Blades of Glory,2007,PG-13,93,69,118.2
1305,Meet the Robinsons,2007,G,95,66,97.7
1306,The Lookout,2007,R,99,87,4.5
1307,Are We Done Yet?,2007,PG,92,8,50.0
1308,Firehouse Dog,2007,PG,111,38,13.9
1309,The Reaping,2007,R,99,8,25.1
1310,Grindhouse,2007,R,191,83,24.9
1311,Redline,2007,PG-13,95,0,6.8
1312,Disturbia,2007,PG-13,105,68,80.1
1313,Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,R,86,48,5.4
1314,My Name Is Bruce,2007,R,86,40,0.1
1315,Perfect Stranger,2007,R,109,11,23.7
1316,Pathfinder,2007,R,99,11,10.2
1317,Hot Fuzz,2007,R,121,91,23.6
1318,Fracture,2007,R,113,71,39.0
1319,Vacancy,2007,R,85,56,19.0
1320,In the Land of Women,2007,PG-13,97,43,11.0
1321,The Hammer,2007,R,88,80,0.3
1322,The Condemned,2007,R,113,15,7.3
1323,The Invisible,2007,PG-13,102,20,20.5
1324,Next,2007,PG-13,96,28,18.0
1325,Spider-Man 3,2007,PG-13,139,63,336.5
1326,Lucky You,2007,PG-13,124,29,5.7
1327,Interview,2007,R,84,57,0.3
1328,Delta Farce,2007,PG-13,90,5,8.1
1329,Georgia Rule,2007,R,113,17,18.9
1330,Year of the Dog,2007,PG-13,97,69,1.5
1331,Shrek the Third,2007,PG,93,40,320.7
1332,Pirates of the Caribbean: At World's End,2007,PG-13,169,45,309.4
1333,Waitress,2007,PG-13,108,89,18.7
1334,Mr. Brooks,2007,R,120,55,28.4
1335,Crazy Love,2007,PG-13,92,78,0.2
1336,Gracie,2007,PG-13,95,60,2.9
1337,Hostel: Part II,2007,R,94,44,17.5
1338,Ocean's Thirteen,2007,PG-13,122,70,117.1
1339,Surf's Up,2007,PG,85,78,58.9
1340,The Living Wake,2007,PG-13,91,50,0.0121
1341,Fantastic 4: Rise of the Silver Surfer,2007,PG,92,37,131.8
1342,Nancy Drew,2007,PG,99,49,25.5
1343,1408,2007,PG-13,104,79,71.9
1344,A Mighty Heart,2007,R,108,79,9.1
1345,Evan Almighty,2007,PG,96,23,100.3
1346,Live Free or Die Hard,2007,PG-13,128,82,134.5
1347,Ratatouille,2007,G,111,96,206.4
1348,Evening,2007,PG-13,117,27,12.4
1349,License to Wed,2007,PG-13,91,7,43.7
1350,Nanking,2007,R,88,96,0.0455
1351,Sicko,2007,PG-13,123,92,24.3
1352,Rise: Blood Hunter,2007,R,97,33,0.0594
1353,Harry Potter and the Order of the Phoenix,2007,PG-13,138,79,292.0
1354,You Kill Me,2007,R,93,78,2.3
1355,Captivity,2007,R,96,9,2.6
1356,Joshua,2007,R,106,62,0.4
1357,I Now Pronounce You Chuck & Larry,2007,PG-13,115,14,119.7
1358,Hairspray,2007,PG,117,91,118.8
1359,Who's Your Caddy?,2007,PG-13,93,6,5.5
1360,I Know Who Killed Me,2007,R,105,7,7.2
1361,The Simpsons Movie,2007,PG-13,87,90,183.0
1362,No Reservations,2007,PG,104,42,43.1
1363,Bratz,2007,PG,110,9,9.9
1364,Underdog,2007,PG,84,14,43.7
1365,Hot Rod,2007,PG-13,88,40,13.9
1366,Talk to Me,2007,R,118,82,4.4
1367,The Bourne Ultimatum,2007,PG-13,115,93,227.4
1368,Daddy Day Camp,2007,PG,93,1,13.2
1369,The Walker,2007,R,108,54,0.0432
1370,Rush Hour 3,2007,PG-13,91,18,140.1
1371,Stardust,2007,PG-13,127,76,38.2
1372,Superbad,2007,R,113,88,121.5
1373,Arctic Tale,2007,G,96,61,0.6
1374,The Invasion,2007,PG-13,99,19,15.0
1375,September Dawn,2007,R,111,13,1.1
1376,Resurrecting the Champ,2007,PG-13,112,60,2.9
1377,Illegal Tender,2007,R,108,15,3.1
1378,The Legend of God's Gun,2007,R,78,0,0.0772
1379,Balls of Fury,2007,PG-13,90,23,32.8
1380,Halloween,2007,R,109,25,58.2
1381,Death Sentence,2007,R,105,20,9.5
1382,Ladrón que roba a ladrón,2007,PG-13,98,66,4.0
1383,The Brothers Solomon,2007,R,93,15,0.9
1384,Shoot 'Em Up,2007,R,86,67,12.7
1385,3:10 to Yuma,2007,R,122,89,53.6
1386,Greetings from the Shore,2007,R,116,70,0.0405
1387,Mr. Woodcock,2007,PG-13,87,13,25.8
1388,The Brave One,2007,R,122,43,36.8
1389,The Hunting Party,2007,R,101,53,0.8
1390,Eastern Promises,2007,R,100,89,17.1
1391,Sydney White,2007,PG-13,108,37,11.7
1392,Resident Evil: Extinction,2007,R,94,22,50.6
1393,Good Luck Chuck,2007,R,96,5,35.0
1394,Feast of Love,2007,R,101,39,3.4
1395,In the Valley of Elah,2007,R,121,73,6.6
1396,Rocket Science,2007,R,101,84,0.6
1397,The Kingdom,2007,R,110,51,47.5
1398,The Game Plan,2007,PG,110,29,90.5
1399,Feel the Noise,2007,PG-13,86,12,5.9
1400,The Heartbreak Kid,2007,R,116,29,36.8
1401,Control,2007,R,122,87,0.8
1402,The Jane Austen Book Club,2007,PG-13,106,65,3.3
1403,The 11th Hour,2007,PG,95,67,0.6
1404,Elizabeth: The Golden Age,2007,PG-13,114,35,16.3
1405,The Final Season,2007,PG,119,26,1.0
1406,Michael Clayton,2007,R,119,90,49.0
1407,We Own the Night,2007,R,117,57,28.6
1408,Across the Universe,2007,PG-13,133,53,24.3
1409,Trade,2007,R,120,29,0.1
1410,Rendition,2007,R,122,47,9.7
1411,Sarah Landon and the Paranormal Hour,2007,PG,81,0,0.8
1412,Into the Wild,2007,R,148,82,18.2
1413,The Ten Commandments,2007,PG,88,14,0.8
1414,30 Days of Night,2007,R,113,51,39.6
1415,Gone Baby Gone,2007,R,114,94,20.3
1416,Things We Lost in the Fire,2007,R,118,65,3.2
1417,The Assassination of Jesse James by the Coward Robert Ford,2007,R,160,76,3.8
1418,The Comebacks,2007,PG-13,84,9,13.3
1419,Paranoid Park,2007,R,85,76,0.2
1420,The Darjeeling Limited,2007,R,91,68,11.7
1421,Dan in Real Life,2007,PG-13,98,64,47.6
1422,Saw IV,2007,R,93,17,63.3
1423,Youth Without Youth,2007,R,124,30,0.1
1424,Darfur Now,2007,PG,98,73,0.0639
1425,Lars and the Real Girl,2007,PG-13,106,81,5.8
1426,Bee Movie,2007,PG,91,51,126.6
1427,In the Shadow of the Moon,2007,PG,100,95,0.9
1428,Martian Child,2007,PG,106,33,7.5
1429,American Gangster,2007,R,157,80,130.1
1430,Lions for Lambs,2007,R,92,27,15.0
1431,P2,2007,R,98,35,4.0
1432,Fred Claus,2007,PG,116,21,72.0
1433,Mr. Magorium's Wonder Emporium,2007,G,93,37,31.9
1434,What Would Jesus Buy?,2007,PG,91,57,0.1
1435,Love in the Time of Cholera,2007,R,139,26,4.6
1436,Beowulf,2007,PG-13,115,71,82.2
1437,Redacted,2007,R,90,45,0.0256
1438,Enchanted,2007,PG,107,93,127.7
1439,No Country for Old Men,2007,R,122,93,74.2
1440,August Rush,2007,PG,114,37,31.5
1441,The Mist,2007,R,126,73,25.5
1442,This Christmas,2007,PG-13,117,56,49.1
1443,Sleuth,2007,R,86,36,0.2
1444,Awake,2007,R,84,23,14.3
1445,The Golden Compass,2007,PG-13,113,42,70.1
1446,I'm Not There.,2007,R,135,76,3.7
1447,Before the Devil Knows You're Dead,2007,R,117,88,7.0
1448,Noëlle,2007,PG,90,57,0.2
1449,The Perfect Holiday,2007,PG,96,16,5.8
1450,I Am Legend,2007,PG-13,101,70,256.3
1451,Alvin and the Chipmunks,2007,PG,92,27,217.2
1452,Margot at the Wedding,2007,R,91,52,1.9
1453,Charlie Wilson's War,2007,R,102,82,66.6
1454,Walk Hard: The Dewey Cox Story,2007,R,96,74,18.3
1455,National Treasure: Book of Secrets,2007,PG,124,35,219.9
1456,Sweeney Todd: The Demon Barber of Fleet Street,2007,R,116,86,52.8
1457,Juno,2007,PG-13,96,94,143.4
1458,Aliens vs. Predator: Requiem,2007,R,94,12,41.7
1459,In the Name of the King: A Dungeon Siege Tale,2007,PG-13,127,4,4.5
1460,The Kite Runner,2007,PG-13,128,66,15.7
1461,The Bucket List,2007,PG-13,97,41,93.5
1462,Atonement,2007,R,123,83,50.8
1463,Cassandra's Dream,2007,PG-13,108,46,0.9
1464,How She Move,2007,PG-13,94,66,7.0
1465,There Will Be Blood,2007,R,158,91,40.1
1466,The Savages,2007,R,113,89,6.4
1467,The Diving Bell and the Butterfly,2007,PG-13,112,94,5.9
1468,Diary of the Dead,2007,R,95,62,0.7
1469,Charlie Bartlett,2007,R,97,56,3.7
1470,Persepolis,2007,PG-13,96,96,4.3
1471,U2 3D,2007,G,85,93,10.4
1472,The King of Kong: A Fistful of Quarters,2007,PG-13,79,97,0.5
1473,The Band's Visit,2007,PG-13,87,98,3.0
1474,"Run, Fatboy, Run",2007,PG-13,100,48,5.9
1475,Married Life,2007,PG-13,91,55,1.2
1476,Teeth,2007,R,94,79,0.2
1477,Funny Games,2007,R,111,52,1.0
1478,Under the Same Moon,2007,PG-13,106,73,12.5
1479,88 Minutes,2007,R,108,5,16.9
1480,Then She Found Me,2007,R,100,50,3.7
1481,Surfwise,2007,R,93,98,0.2
1482,The Visitor,2007,PG-13,104,89,9.2
1483,Trumbo,2007,PG-13,96,82,0.0281
1484,Broken English,2007,PG-13,93,64,0.8
1485,Encounters at the End of the World,2007,G,99,94,0.7
1486,The Ten,2007,R,96,37,0.5
1487,The Life Before Her Eyes,2007,R,90,24,0.2
1488,Snow Angels,2007,R,107,68,0.3
1489,Towelhead,2007,R,124,49,0.3
1490,Tortilla Heaven,2007,PG-13,98,25,0.0735
1491,Nobel Son,2007,R,110,25,0.3
1492,Everybody Wants to Be Italian,2007,R,105,9,0.3
1493,Earth,2007,G,90,87,32.0
1494,Battle for Terra,2007,PG,85,48,1.6
1495,Brooklyn Rules,2007,R,99,45,0.2
1496,Paranormal Activity,2007,R,86,83,107.9
1497,One Missed Call,2008,PG-13,87,0,26.8
1498,The Pirates Who Don't Do Anything: A VeggieTales Movie,2008,G,85,39,12.7
1499,Mad Money,2008,PG-13,104,22,20.5
1500,27 Dresses,2008,PG-13,111,41,76.8
1501,Cloverfield,2008,PG-13,85,77,80.0
1502,Bigger Stronger Faster*,2008,PG-13,105,96,0.2
1503,The Mysteries of Pittsburgh,2008,R,95,12,0.0328
1504,Untraceable,2008,R,101,16,28.7
1505,Meet the Spartans,2008,PG-13,86,2,38.2
1506,Rambo,2008,R,92,37,42.7
1507,Over Her Dead Body,2008,PG-13,95,15,7.5
1508,Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,2008,G,74,72,65.1
1509,The Eye,2008,PG-13,98,22,31.4
1510,Strange Wilderness,2008,R,87,2,6.5
1511,Fool's Gold,2008,PG-13,112,11,70.2
1512,"Welcome Home, Roscoe Jenkins",2008,PG-13,114,22,42.2
1513,Jumper,2008,PG-13,88,16,80.1
1514,Step Up 2: The Streets,2008,PG-13,98,27,58.0
1515,The Spiderwick Chronicles,2008,PG,96,80,71.1
1516,"Definitely, Maybe",2008,PG-13,112,71,32.0
1517,Witless Protection,2008,PG-13,97,4,4.1
1518,Be Kind Rewind,2008,PG-13,102,66,11.0
1519,Vantage Point,2008,PG-13,90,35,72.3
1520,Semi-Pro,2008,R,91,21,33.4
1521,In Bruges,2008,R,107,84,7.6
1522,The Other Boleyn Girl,2008,PG-13,115,42,26.8
1523,"10,000 BC",2008,PG-13,109,8,94.8
1524,Miss Pettigrew Lives for a Day,2008,PG-13,92,77,12.3
1525,College Road Trip,2008,G,83,13,45.6
1526,The Bank Job,2008,R,111,79,30.0
1527,Never Back Down,2008,PG-13,110,22,24.8
1528,Doomsday,2008,R,105,50,11.0
1529,Horton Hears a Who!,2008,G,86,79,154.4
1530,Meet the Browns,2008,PG-13,100,32,41.9
1531,Shutter,2008,PG-13,85,7,25.9
1532,Drillbit Taylor,2008,PG-13,110,25,32.9
1533,Stop-Loss,2008,R,112,65,10.8
1534,21,2008,PG-13,123,36,81.2
1535,Superhero Movie,2008,PG-13,75,16,25.8
1536,Nim's Island,2008,PG,96,51,47.9
1537,Shine a Light,2008,PG-13,122,87,5.4
1538,Leatherheads,2008,PG-13,114,52,31.2
1539,The Ruins,2008,R,90,48,17.4
1540,Street Kings,2008,R,109,36,26.4
1541,Prom Night,2008,PG-13,88,8,43.8
1542,Smart People,2008,R,95,49,9.5
1543,Forgetting Sarah Marshall,2008,R,111,85,62.9
1544,Expelled: No Intelligence Allowed,2008,PG,90,11,7.5
1545,The Forbidden Kingdom,2008,PG-13,104,64,51.9
1546,Deception,2008,R,107,14,4.6
1547,Harold & Kumar Escape from Guantanamo Bay,2008,R,104,53,38.1
1548,Baby Mama,2008,PG-13,99,64,60.3
1549,Iron Man,2008,PG-13,126,94,318.3
1550,Made of Honor,2008,PG-13,101,14,46.0
1551,Speed Racer,2008,PG,135,39,43.9
1552,What Happens in Vegas,2008,PG-13,99,27,80.2
1553,Where in the World Is Osama Bin Laden?,2008,PG-13,90,38,0.3
1554,Redbelt,2008,R,99,68,2.3
1555,The Chronicles of Narnia: Prince Caspian,2008,PG,150,67,141.6
1556,Indiana Jones and the Kingdom of the Crystal Skull,2008,PG-13,122,78,317.0
1557,Sex and the City,2008,R,145,49,152.6
1558,The Strangers,2008,R,86,45,52.5
1559,Kung Fu Panda,2008,PG,92,87,215.4
1560,You Don't Mess with the Zohan,2008,PG-13,113,38,100.0
1561,Waltz with Bashir,2008,R,90,96,2.1
1562,The Children of Huang Shi,2008,R,125,30,0.7
1563,The Promotion,2008,R,86,53,0.4
1564,The Happening,2008,R,91,17,64.5
1565,The Incredible Hulk,2008,PG-13,112,67,134.5
1566,"War, Inc.",2008,R,107,30,0.5
1567,The Love Guru,2008,PG-13,87,14,32.2
1568,Get Smart,2008,PG-13,110,51,130.2
1569,Wanted,2008,R,110,72,134.3
1570,WALL·E,2008,G,98,96,223.7
1571,Kit Kittredge: An American Girl,2008,G,101,79,17.5
1572,Hancock,2008,PG-13,92,41,227.9
1573,CSNY/Déjà Vu,2008,R,96,68,0.0329
1574,Journey to the Center of the Earth,2008,PG,93,61,101.7
1575,Hellboy II: The Golden Army,2008,PG-13,120,86,75.8
1576,Meet Dave,2008,PG,90,20,11.6
1577,Outlander,2008,R,115,37,0.0596
1578,Fireflies in the Garden,2008,R,120,20,0.0369
1579,Gonzo: The Life and Work of Dr. Hunter S. Thompson,2008,R,120,86,1.0
1580,The Dark Knight,2008,PG-13,152,94,533.3
1581,Mamma Mia!,2008,PG-13,108,54,143.7
1582,Space Chimps,2008,G,81,34,29.9
1583,Step Brothers,2008,R,98,55,100.5
1584,The X Files: I Want to Believe,2008,PG-13,104,31,20.8
1585,The Wackness,2008,R,99,69,2.0
1586,Swing Vote,2008,PG-13,120,38,16.2
1587,The Mummy: Tomb of the Dragon Emperor,2008,PG-13,112,13,101.6
1588,The Sisterhood of the Traveling Pants 2,2008,PG-13,117,65,44.0
1589,The Midnight Meat Train,2008,R,100,71,0.0344
1590,Beer for My Horses,2008,PG-13,86,0,0.6
1591,Tropic Thunder,2008,R,107,83,110.4
1592,Star Wars: The Clone Wars,2008,PG,98,18,35.1
1593,Mirrors,2008,R,110,14,30.6
1594,Vicky Cristina Barcelona,2008,PG-13,96,81,23.2
1595,American Teen,2008,PG-13,95,69,0.8
1596,Henry Poole Is Here,2008,PG,99,39,1.7
1597,The Rocker,2008,PG-13,102,41,6.3
1598,The Longshots,2008,PG,94,41,11.4
1599,Death Race,2008,R,105,43,36.1
1600,The House Bunny,2008,PG-13,97,42,48.2
1601,Traitor,2008,PG-13,114,64,23.5
1602,Hamlet 2,2008,R,92,62,4.8
1603,College,2008,R,94,5,4.6
1604,Elegy,2008,R,112,75,3.5
1605,Man on Wire,2008,PG-13,94,100,2.6
1606,Fly Me to the Moon 3D,2008,G,84,19,13.6
1607,Disaster Movie,2008,PG-13,87,1,14.2
1608,Bottle Shock,2008,PG-13,110,48,3.9
1609,Frozen River,2008,R,97,88,2.1
1610,Bangkok Dangerous,2008,R,99,9,15.2
1611,The Women,2008,PG-13,114,13,26.8
1612,The Family That Preys,2008,PG-13,111,51,37.0
1613,Righteous Kill,2008,R,101,19,40.0
1614,Burn After Reading,2008,R,96,78,60.3
1615,Igor,2008,PG,87,36,19.4
1616,My Best Friend's Girl,2008,R,101,14,19.2
1617,Ghost Town,2008,PG-13,102,85,13.2
1618,Lakeview Terrace,2008,PG-13,110,45,39.3
1619,Eagle Eye,2008,PG-13,118,26,101.1
1620,Fireproof,2008,PG,122,40,33.5
1621,Nights in Rodanthe,2008,PG-13,97,30,41.8
1622,Choke,2008,R,92,54,2.8
1623,Forever Strong,2008,PG-13,112,29,0.5
1624,Miracle at St. Anna,2008,R,160,34,7.8
1625,The Lucky Ones,2008,R,115,37,0.2
1626,Appaloosa,2008,R,115,77,20.2
1627,Flash of Genius,2008,PG-13,119,59,4.2
1628,Beverly Hills Chihuahua,2008,PG,91,41,94.5
1629,Religulous,2008,R,101,70,13.0
1630,An American Carol,2008,PG-13,83,11,7.0
1631,Nick and Norah's Infinite Playlist,2008,PG-13,90,74,31.5
1632,The Duchess,2008,PG-13,110,61,13.8
1633,Quarantine,2008,R,89,58,31.7
1634,The Express,2008,PG,130,61,9.6
1635,Body of Lies,2008,R,128,54,39.4
1636,City of Ember,2008,PG,90,53,7.8
1637,Billy: The Early Years,2008,PG,98,0,0.3
1638,The Secret Life of Bees,2008,PG-13,114,58,37.7
1639,W.,2008,PG-13,129,59,25.5
1640,Sex Drive,2008,R,109,45,8.4
1641,Max Payne,2008,PG-13,100,16,40.6
1642,Passengers,2008,PG-13,93,20,0.3
1643,Noah's Arc: Jumping the Broom,2008,R,101,50,0.4
1644,Pride and Glory,2008,R,130,35,15.7
1645,Roadside Romeo,2008,PG,93,0,0.0418
